"","city","team1","team2","team1_toss_win","team1_bat","team1_win"
"202",12,"14","6",1,1,0
"203",8,"8","3",1,1,1
"204",7,"2","9",1,1,1
"205",9,"15","14",1,1,0
"206",12,"6","3",1,1,1
"207",6,"11","9",1,1,1
"208",7,"2","15",1,1,0
"209",8,"8","14",1,1,1
"210",23,"3","9",1,1,1
"211",12,"6","11",1,1,1
"212",11,"15","3",1,1,0
"213",7,"2","8",1,1,1
"214",5,"14","9",0,0,0
"215",9,"11","15",1,1,0
"216",23,"6","9",1,1,0
"217",5,"2","14",0,0,0
"218",8,"8","15",1,1,0
"219",11,"11","3",0,0,1
"220",23,"9","14",0,0,1
"221",6,"11","8",1,1,1
"222",12,"2","6",1,1,0
"223",11,"3","14",1,1,0
"224",12,"6","8",1,1,0
"225",24,"15","9",0,0,0
"226",5,"11","14",0,0,1
"227",7,"3","2",1,1,0
"228",24,"15","6",0,0,0
"229",8,"9","8",1,1,1
"230",7,"11","2",1,1,0
"231",6,"11","14",1,1,1
"232",6,"6","9",1,1,1
"233",6,"9","14",1,1,0
"234",6,"6","11",1,1,1
"235",12,"6","2",1,1,1
"236",1,"9","3",0,0,0
"237",25,"4","14",1,1,0
"238",8,"8","11",1,1,0
"239",6,"15","1",1,1,0
"240",7,"2","9",1,1,1
"241",11,"8","3",1,1,0
"242",5,"14","11",0,0,0
"243",9,"6","15",0,0,0
"244",6,"4","1",1,1,0
"245",1,"9","14",0,0,1
"246",11,"3","2",0,0,0
"247",6,"11","4",0,0,0
"248",12,"6","14",1,1,1
"249",1,"9","15",0,0,0
"250",6,"1","8",0,0,0
"251",7,"3","2",0,0,0
"252",25,"6","4",0,0,0
"253",8,"9","8",1,1,1
"254",6,"1","11",1,1,0
"255",7,"4","2",0,0,1
"256",9,"15","3",0,0,1
"257",6,"11","6",0,0,1
"258",7,"2","14",0,0,0
"259",8,"8","15",0,0,1
"260",1,"11","9",0,0,1
"261",11,"4","3",0,0,0
"262",12,"6","1",0,0,1
"263",8,"8","14",0,0,0
"264",6,"1","6",1,1,0
"265",25,"9","4",0,0,1
"266",8,"2","8",0,0,1
"267",11,"11","3",0,0,0
"268",5,"14","1",0,0,1
"269",25,"8","4",1,1,1
"270",7,"15","2",0,0,0
"271",11,"1","3",0,0,0
"272",12,"6","9",1,1,1
"273",6,"11","15",0,0,1
"274",8,"8","4",0,0,0
"275",1,"2","9",0,0,1
"276",12,"3","6",1,1,0
"277",6,"11","1",0,0,1
"278",25,"4","2",0,0,1
"279",1,"9","8",0,0,0
"280",5,"14","15",0,0,1
"281",7,"6","2",1,1,0
"282",6,"11","8",0,0,1
"283",5,"4","14",1,1,0
"284",9,"15","1",1,1,0
"285",11,"6","3",0,0,1
"286",1,"9","1",1,1,0
"287",9,"15","11",0,0,1
"288",11,"3","14",0,0,0
"289",12,"6","8",1,1,1
"290",4,"4","15",0,0,0
"291",5,"2","14",0,0,0
"292",6,"9","11",1,1,1
"293",24,"15","8",0,0,1
"294",4,"3","4",0,0,0
"295",6,"1","9",0,0,0
"296",24,"15","14",1,1,1
"297",12,"6","4",1,1,1
"298",6,"1","2",0,0,0
"299",6,"11","3",1,1,0
"300",24,"9","15",0,0,1
"302",5,"6","14",0,0,0
"303",7,"2","11",0,0,0
"304",6,"14","6",0,0,0
"305",6,"2","11",0,0,0
"306",12,"14","11",0,0,1
"307",12,"6","14",1,1,1
"308",12,"6","11",0,0,0
"309",7,"2","8",0,0,0
"310",6,"1","11",0,0,1
"311",11,"3","15",0,0,1
"312",5,"14","8",0,0,1
"313",26,"6","9",0,0,1
"314",11,"3","2",0,0,1
"315",2,"1","15",1,1,1
"316",26,"9","11",1,1,0
"317",5,"2","14",0,0,1
"318",8,"6","8",0,0,0
"319",6,"11","3",0,0,1
"320",12,"14","6",1,1,0
"321",9,"1","15",0,0,0
"322",7,"3","2",1,1,0
"323",8,"9","8",1,1,0
"324",2,"6","1",1,1,0
"325",7,"15","2",0,0,1
"326",5,"3","14",1,1,1
"327",6,"11","8",0,0,0
"328",11,"9","3",1,1,0
"329",5,"1","14",1,1,0
"330",9,"15","2",1,1,0
"331",1,"9","8",1,1,0
"332",12,"6","1",0,0,1
"333",9,"15","14",0,0,0
"334",12,"3","6",1,1,0
"335",8,"1","8",0,0,1
"336",6,"11","15",1,1,0
"337",22,"9","2",0,0,0
"338",11,"14","3",0,0,1
"339",2,"1","8",1,1,0
"340",9,"15","11",1,1,0
"341",2,"9","1",1,1,1
"342",8,"8","11",0,0,1
"343",12,"15","6",1,1,1
"344",7,"2","14",1,1,1
"345",8,"8","3",1,1,1
"346",6,"9","11",0,0,0
"347",12,"6","2",1,1,0
"348",22,"9","1",1,1,1
"349",11,"3","8",1,1,0
"350",5,"14","15",0,0,0
"351",2,"11","1",1,1,1
"352",12,"6","9",1,1,1
"353",7,"2","1",1,1,1
"354",9,"3","15",1,1,1
"355",6,"6","11",0,0,0
"356",5,"9","14",0,0,0
"357",8,"8","2",1,1,0
"358",2,"1","3",1,1,0
"359",1,"15","9",0,0,1
"360",6,"11","14",0,0,0
"361",11,"3","6",0,0,0
"362",2,"14","1",0,0,1
"363",7,"11","2",1,1,1
"364",12,"8","6",0,0,0
"365",11,"3","1",1,1,1
"366",9,"9","15",1,1,0
"367",5,"14","11",0,0,0
"368",7,"2","6",0,0,0
"369",8,"15","8",1,1,0
"370",6,"2","11",0,0,1
"371",24,"6","15",0,0,0
"372",8,"14","8",0,0,1
"373",1,"3","9",1,1,0
"374",24,"15","8",0,0,0
"375",2,"2","1",1,1,1
"376",1,"9","14",0,0,1
"377",11,"3","11",1,1,0
"378",2,"2","8",1,1,1
"379",5,"6","11",0,0,1
"380",12,"6","8",0,0,1
"381",12,"6","2",1,1,0
"382",7,"8","2",0,0,0
"383",5,"14","11",0,0,1
"384",1,"12","1",0,0,1
"385",8,"3","8",1,1,1
"386",12,"11","6",1,1,1
"387",2,"1","15",1,1,0
"389",11,"3","2",0,0,1
"390",6,"11","8",1,1,1
"391",9,"15","6",0,0,0
"392",5,"2","14",0,0,0
"393",2,"3","1",1,1,0
"394",8,"8","12",1,1,0
"395",6,"11","1",1,1,1
"396",12,"14","6",0,0,0
"397",7,"2","12",1,1,1
"398",11,"15","3",0,0,0
"399",12,"1","6",1,1,1
"400",9,"15","2",0,0,1
"402",2,"12","1",0,0,1
"403",11,"3","11",1,1,1
"404",8,"6","8",1,1,1
"405",1,"15","12",1,1,0
"406",7,"2","6",1,1,0
"407",5,"3","14",0,0,0
"408",8,"11","8",1,1,0
"409",9,"1","15",0,0,0
"410",12,"3","6",1,1,0
"411",5,"14","1",0,0,1
"412",24,"15","8",0,0,1
"413",7,"2","11",1,1,0
"414",12,"12","6",1,1,0
"415",7,"15","2",1,1,0
"416",11,"12","3",1,1,0
"417",6,"11","14",1,1,1
"418",12,"6","2",0,0,1
"419",27,"8","1",0,0,1
"420",11,"14","3",0,0,0
"421",6,"11","15",1,1,1
"422",2,"6","1",1,1,1
"423",1,"11","12",1,1,0
"424",27,"2","8",1,1,0
"425",12,"6","15",1,1,1
"426",2,"14","1",1,1,1
"427",7,"3","2",1,1,0
"428",1,"8","12",1,1,0
"429",5,"14","15",0,0,0
"430",6,"11","6",1,1,1
